response     time	intercept	  time        x1        x2
7.435271   2.500000   1.000000   2.500000   1.000000   2.500000   
12.166920   0.000000   1.000000   0.000000   0.000000   0.000000   
8.151474   0.500000   1.000000   0.500000   0.000000   0.000000   
7.994382   0.000000   1.000000   0.000000   1.000000   0.000000   
8.880153   0.500000   1.000000   0.500000   1.000000   0.500000   
10.646639   1.000000   1.000000   1.000000   1.000000   1.000000   
7.407220   1.500000   1.000000   1.500000   1.000000   1.500000   
6.803321   2.000000   1.000000   2.000000   1.000000   2.000000   
5.366781   2.500000   1.000000   2.500000   1.000000   2.500000   
10.405582   3.000000   1.000000   3.000000   1.000000   3.000000   
7.488004   3.500000   1.000000   3.500000   1.000000   3.500000   
6.073746   4.000000   1.000000   4.000000   1.000000   4.000000   
10.994895   4.500000   1.000000   4.500000   1.000000   4.500000   
4.400167   5.000000   1.000000   5.000000   1.000000   5.000000   
8.004966   0.000000   1.000000   0.000000   1.000000   0.000000   
7.135284   0.500000   1.000000   0.500000   1.000000   0.500000   
4.920765   1.000000   1.000000   1.000000   1.000000   1.000000   
6.132134   1.500000   1.000000   1.500000   1.000000   1.500000   
7.500317   2.000000   1.000000   2.000000   1.000000   2.000000   
5.593033   2.500000   1.000000   2.500000   1.000000   2.500000   
10.056833   3.000000   1.000000   3.000000   1.000000   3.000000   
6.591610   3.500000   1.000000   3.500000   1.000000   3.500000   
5.717770   4.000000   1.000000   4.000000   1.000000   4.000000   
9.251766   0.000000   1.000000   0.000000   1.000000   0.000000   
8.507432   0.500000   1.000000   0.500000   1.000000   0.500000   
8.989827   0.000000   1.000000   0.000000   0.000000   0.000000   
7.332265   0.500000   1.000000   0.500000   0.000000   0.000000   
8.356015   0.000000   1.000000   0.000000   0.000000   0.000000   
11.903385   0.500000   1.000000   0.500000   0.000000   0.000000   
13.348925   1.000000   1.000000   1.000000   0.000000   0.000000   
12.386090   1.500000   1.000000   1.500000   0.000000   0.000000   
13.196748   2.000000   1.000000   2.000000   0.000000   0.000000   
9.620795   2.500000   1.000000   2.500000   0.000000   0.000000   
12.219755   0.000000   1.000000   0.000000   0.000000   0.000000   
6.879415   0.500000   1.000000   0.500000   0.000000   0.000000   
14.159307   1.000000   1.000000   1.000000   0.000000   0.000000   
8.225851   0.000000   1.000000   0.000000   1.000000   0.000000   
3.698441   0.500000   1.000000   0.500000   1.000000   0.500000   
10.842568   1.000000   1.000000   1.000000   1.000000   1.000000   
10.388267   1.500000   1.000000   1.500000   1.000000   1.500000   
12.438368   2.000000   1.000000   2.000000   1.000000   2.000000   
9.854351   0.000000   1.000000   0.000000   1.000000   0.000000   
9.041623   0.500000   1.000000   0.500000   1.000000   0.500000   
9.973580   1.000000   1.000000   1.000000   1.000000   1.000000   
7.692497   1.500000   1.000000   1.500000   1.000000   1.500000   
9.359468   2.000000   1.000000   2.000000   1.000000   2.000000   
12.350359   2.500000   1.000000   2.500000   1.000000   2.500000   
3.844723   3.000000   1.000000   3.000000   1.000000   3.000000   
7.313532   3.500000   1.000000   3.500000   1.000000   3.500000   
6.653481   4.000000   1.000000   4.000000   1.000000   4.000000   
5.683543   0.000000   1.000000   0.000000   0.000000   0.000000   
11.048291   0.500000   1.000000   0.500000   0.000000   0.000000   
9.440305   1.000000   1.000000   1.000000   0.000000   0.000000   
12.711150   1.500000   1.000000   1.500000   0.000000   0.000000   
14.516465   2.000000   1.000000   2.000000   0.000000   0.000000   
8.139107   2.500000   1.000000   2.500000   0.000000   0.000000   
9.167016   3.000000   1.000000   3.000000   0.000000   0.000000   
13.873484   3.500000   1.000000   3.500000   0.000000   0.000000   
